Date,Open,High,Low,Close,Adj Close,Volume
30-07-21,2.27,2.3,2.27,2.27,2.204407,34752400
02-08-21,2.28,2.29,2.26,2.28,2.214118,13342800
03-08-21,2.28,2.28,2.25,2.27,2.204407,13022800
04-08-21,2.26,2.29,2.25,2.27,2.227963,21587500
05-08-21,2.27,2.29,2.26,2.28,2.237778,13608800
06-08-21,2.27,2.28,2.27,2.28,2.237778,7996500
10-08-21,2.29,2.34,2.29,2.33,2.286852,46518900
11-08-21,2.34,2.34,2.31,2.31,2.267222,15311000
12-08-21,2.33,2.4,2.33,2.37,2.326111,63690700
13-08-21,2.38,2.4,2.38,2.39,2.345741,32248900
16-08-21,2.38,2.43,2.37,2.4,2.355556,30773500
17-08-21,2.4,2.41,2.38,2.38,2.335926,25759900
18-08-21,2.39,2.43,2.38,2.4,2.355556,22404800
19-08-21,2.38,2.4,2.35,2.37,2.326111,37155800
20-08-21,2.38,2.4,2.38,2.39,2.345741,28809400
23-08-21,2.4,2.42,2.36,2.36,2.316296,34851800
24-08-21,2.38,2.4,2.38,2.39,2.345741,19623700
25-08-21,2.39,2.41,2.38,2.38,2.335926,14866300
26-08-21,2.38,2.4,2.37,2.38,2.335926,13031700
27-08-21,2.37,2.37,2.35,2.36,2.316296,23148000
30-08-21,2.35,2.38,2.35,2.36,2.316296,21424700
31-08-21,2.35,2.35,2.31,2.32,2.277037,65612300
01-09-21,2.33,2.37,2.32,2.35,2.306481,28135900
02-09-21,2.36,2.38,2.35,2.37,2.326111,22819400
03-09-21,2.38,2.39,2.36,2.38,2.335926,15426400
06-09-21,2.37,2.38,2.35,2.38,2.335926,13868100
07-09-21,2.37,2.38,2.36,2.38,2.335926,11522200
08-09-21,2.37,2.37,2.35,2.35,2.306481,17310600
09-09-21,2.35,2.38,2.34,2.37,2.326111,27273200
10-09-21,2.37,2.42,2.37,2.4,2.355556,52768200
13-09-21,2.39,2.4,2.36,2.39,2.345741,16915700
14-09-21,2.39,2.41,2.39,2.4,2.355556,19627800
15-09-21,2.38,2.39,2.36,2.38,2.335926,17991500
16-09-21,2.39,2.41,2.39,2.4,2.355556,30200200
17-09-21,2.4,2.45,2.39,2.43,2.385,65171100
20-09-21,2.42,2.47,2.42,2.44,2.394815,43205600
21-09-21,2.44,2.48,2.43,2.47,2.424259,75406900
22-09-21,2.45,2.48,2.44,2.47,2.424259,29398700
23-09-21,2.47,2.49,2.45,2.48,2.434074,26014200
24-09-21,2.49,2.53,2.48,2.5,2.453704,55826600
27-09-21,2.5,2.53,2.49,2.51,2.463519,30828900
28-09-21,2.5,2.51,2.47,2.48,2.434074,38826400
29-09-21,2.45,2.48,2.45,2.47,2.424259,26537700
30-09-21,2.47,2.48,2.44,2.46,2.414444,36749600
01-10-21,2.45,2.46,2.42,2.43,2.385,29454700
04-10-21,2.46,2.48,2.45,2.46,2.414444,26530600
05-10-21,2.45,2.45,2.4,2.43,2.385,41157500
06-10-21,2.44,2.47,2.44,2.45,2.40463,27580000
